movieId,ratings_count,tags_count
1,215.0,3.0
2,110.0,4.0
3,52.0,2.0
4,7.0,0.0
5,49.0,2.0
6,102.0,0.0
7,54.0,1.0
8,8.0,0.0
9,16.0,0.0
10,132.0,0.0
11,70.0,2.0
12,19.0,0.0
13,8.0,0.0
14,18.0,2.0
15,13.0,0.0
16,82.0,1.0
17,67.0,1.0
18,20.0,0.0
19,88.0,0.0
20,15.0,0.0
21,89.0,1.0
22,36.0,1.0
23,16.0,0.0
24,28.0,0.0
25,76.0,1.0
26,13.0,1.0
27,9.0,0.0
28,11.0,2.0
29,38.0,1.0
30,3.0,0.0
31,38.0,2.0
32,177.0,10.0
34,128.0,3.0
36,67.0,2.0
38,4.0,1.0
39,104.0,7.0
40,2.0,2.0
41,15.0,1.0
42,7.0,0.0
43,8.0,1.0
44,46.0,0.0
45,32.0,1.0
46,15.0,1.0
47,203.0,3.0
48,68.0,0.0
49,1.0,0.0
50,204.0,6.0
52,28.0,2.0
53,2.0,0.0
54,3.0,0.0
55,1.0,0.0
57,8.0,0.0
58,37.0,1.0
60,34.0,0.0
61,6.0,0.0
62,80.0,1.0
63,7.0,0.0
64,5.0,0.0
65,31.0,0.0
66,9.0,0.0
68,5.0,0.0
69,20.0,0.0
70,55.0,0.0
71,5.0,0.0
72,7.0,0.0
73,13.0,0.0
74,8.0,0.0
75,5.0,0.0
76,15.0,0.0
77,1.0,0.0
78,3.0,0.0
79,17.0,0.0
80,2.0,0.0
81,14.0,0.0
82,8.0,0.0
83,1.0,0.0
85,7.0,0.0
86,15.0,0.0
87,7.0,0.0
88,16.0,0.0
89,10.0,0.0
92,8.0,1.0
93,9.0,0.0
94,10.0,0.0
95,84.0,0.0
96,1.0,1.0
97,10.0,0.0
99,2.0,0.0
100,14.0,0.0
101,23.0,3.0
102,5.0,0.0
103,3.0,0.0
104,99.0,3.0
105,23.0,0.0
106,1.0,0.0
107,26.0,1.0
108,1.0,0.0
110,237.0,10.0
111,104.0,1.0
112,46.0,0.0
113,3.0,0.0
116,5.0,1.0
117,1.0,0.0
118,2.0,0.0
119,2.0,0.0
121,2.0,0.0
122,16.0,1.0
123,4.0,0.0
125,12.0,0.0
126,7.0,0.0
128,1.0,0.0
129,1.0,0.0
132,6.0,0.0
135,31.0,0.0
137,1.0,0.0
140,16.0,1.0
141,86.0,0.0
144,12.0,0.0
145,51.0,0.0
146,3.0,0.0
147,15.0,4.0
148,1.0,0.0
149,1.0,0.0
150,201.0,3.0
151,44.0,0.0
152,2.0,0.0
153,137.0,2.0
154,12.0,0.0
155,6.0,0.0
156,3.0,0.0
157,11.0,0.0
158,62.0,0.0
159,14.0,0.0
160,57.0,1.0
161,103.0,1.0
162,17.0,1.0
163,66.0,0.0
164,14.0,0.0
165,144.0,0.0
166,3.0,0.0
168,54.0,0.0
169,10.0,0.0
170,35.0,0.0
171,6.0,0.0
172,53.0,0.0
173,62.0,0.0
174,10.0,0.0
175,20.0,3.0
176,13.0,0.0
177,8.0,0.0
178,1.0,0.0
179,2.0,0.0
180,36.0,0.0
181,17.0,0.0
183,2.0,0.0
184,2.0,0.0
185,112.0,1.0
186,48.0,0.0
187,4.0,0.0
188,12.0,0.0
189,1.0,0.0
190,5.0,0.0
191,6.0,0.0
193,35.0,0.0
194,18.0,0.0
195,10.0,0.0
196,45.0,0.0
198,28.0,0.0
199,4.0,1.0
201,1.0,0.0
202,1.0,0.0
203,22.0,0.0
204,30.0,0.0
205,9.0,0.0
206,2.0,0.0
207,21.0,0.0
208,115.0,0.0
209,3.0,0.0
210,4.0,0.0
211,2.0,0.0
212,3.0,0.0
213,6.0,0.0
214,2.0,0.0
215,24.0,1.0
216,49.0,3.0
217,6.0,0.0
218,14.0,0.0
219,1.0,0.0
220,1.0,0.0
222,16.0,1.0
223,104.0,6.0
224,40.0,2.0
225,52.0,0.0
227,22.0,0.0
228,3.0,0.0
229,7.0,0.0
230,24.0,1.0
231,133.0,0.0
232,14.0,1.0
233,12.0,0.0
234,17.0,0.0
235,70.0,1.0
236,45.0,0.0
237,22.0,3.0
238,2.0,0.0
239,17.0,0.0
240,4.0,0.0
241,1.0,0.0
242,5.0,0.0
243,1.0,0.0
246,29.0,1.0
247,21.0,1.0
248,17.0,2.0
249,18.0,1.0
250,6.0,0.0
251,3.0,0.0
252,43.0,1.0
253,109.0,0.0
254,1.0,0.0
255,7.0,0.0
256,35.0,0.0
257,14.0,1.0
258,10.0,0.0
259,5.0,0.0
260,251.0,26.0
261,42.0,1.0
262,21.0,3.0
263,1.0,0.0
265,33.0,0.0
266,68.0,0.0
267,17.0,0.0
269,2.0,0.0
270,5.0,0.0
271,4.0,0.0
272,31.0,2.0
273,28.0,1.0
274,7.0,0.0
275,6.0,0.0
276,22.0,0.0
277,38.0,1.0
278,2.0,0.0
279,2.0,1.0
280,13.0,1.0
281,14.0,0.0
282,40.0,2.0
283,3.0,0.0
284,1.0,0.0
285,1.0,0.0
287,1.0,0.0
288,92.0,6.0
289,8.0,0.0
290,14.0,1.0
291,3.0,0.0
292,101.0,0.0
293,133.0,35.0
294,2.0,0.0
295,1.0,0.0
296,307.0,181.0
298,1.0,0.0
299,4.0,0.0
300,81.0,1.0
301,1.0,0.0
302,5.0,0.0
303,32.0,0.0
304,3.0,0.0
305,9.0,0.0
306,16.0,0.0
307,24.0,1.0
308,20.0,2.0
310,1.0,0.0
311,1.0,0.0
312,9.0,0.0
313,3.0,0.0
314,16.0,0.0
315,38.0,0.0
316,140.0,1.0
317,81.0,1.0
318,317.0,4.0
319,20.0,0.0
320,1.0,0.0
321,2.0,0.0
322,10.0,0.0
324,1.0,0.0
325,7.0,0.0
326,3.0,1.0
327,34.0,0.0
328,10.0,0.0
329,108.0,1.0
330,6.0,0.0
331,2.0,0.0
332,12.0,0.0
333,50.0,0.0
334,5.0,0.0
335,2.0,0.0
336,1.0,0.0
337,77.0,1.0
338,19.0,1.0
339,98.0,1.0
340,5.0,0.0
341,2.0,0.0
342,33.0,2.0
343,5.0,0.0
344,161.0,0.0
345,36.0,3.0
346,6.0,0.0
347,6.0,0.0
348,30.0,0.0
349,110.0,1.0
350,57.0,1.0
351,17.0,1.0
352,2.0,0.0
353,64.0,0.0
354,6.0,0.0
355,42.0,0.0
356,329.0,9.0
357,103.0,1.0
358,9.0,0.0
