userId,ratings_count,tags_count
1,232,0.0
2,29,9.0
3,39,0.0
4,216,0.0
5,44,0.0
6,314,0.0
7,152,1.0
8,47,0.0
9,46,0.0
10,140,0.0
11,64,0.0
12,32,0.0
13,31,0.0
14,48,0.0
15,135,0.0
16,98,0.0
17,105,0.0
18,502,16.0
19,703,0.0
20,242,0.0
21,443,4.0
22,119,0.0
23,121,0.0
24,110,0.0
25,26,0.0
26,21,0.0
27,135,0.0
28,570,0.0
29,81,0.0
30,34,0.0
31,50,0.0
32,102,0.0
33,156,0.0
34,86,0.0
35,23,0.0
36,60,0.0
37,21,0.0
38,78,0.0
39,100,0.0
40,103,0.0
41,217,0.0
42,440,0.0
43,114,0.0
44,48,0.0
45,399,0.0
46,42,0.0
47,140,0.0
48,33,0.0
49,21,3.0
50,310,0.0
51,359,0.0
52,130,0.0
53,20,0.0
54,33,0.0
55,25,0.0
56,46,0.0
57,476,0.0
58,112,0.0
59,107,0.0
60,22,0.0
61,39,0.0
62,366,370.0
63,271,2.0
64,517,0.0
65,34,0.0
66,345,0.0
67,36,0.0
68,1260,0.0
69,46,0.0
70,62,0.0
71,35,0.0
72,45,0.0
73,210,0.0
74,177,0.0
75,69,0.0
76,119,2.0
77,29,0.0
78,61,0.0
79,64,0.0
80,167,0.0
81,26,0.0
82,227,0.0
83,118,0.0
84,293,0.0
85,34,0.0
86,70,0.0
87,21,0.0
88,56,0.0
89,518,0.0
90,54,0.0
91,575,0.0
92,24,0.0
93,97,0.0
94,56,0.0
95,168,0.0
96,78,0.0
97,36,0.0
98,92,0.0
99,53,0.0
100,148,0.0
101,61,0.0
102,56,0.0
103,377,5.0
104,273,0.0
105,722,0.0
106,33,2.0
107,34,0.0
108,76,0.0
109,127,0.0
110,51,0.0
111,646,0.0
112,65,3.0
113,150,0.0
114,31,0.0
115,112,0.0
116,87,0.0
117,165,0.0
118,22,0.0
119,215,14.0
120,22,0.0
121,58,0.0
122,292,0.0
123,56,0.0
124,50,0.0
125,360,48.0
126,38,0.0
127,22,0.0
128,33,0.0
129,140,0.0
130,28,0.0
131,69,0.0
132,347,4.0
133,35,0.0
134,35,0.0
135,279,0.0
136,111,0.0
137,141,0.0
138,22,2.0
139,194,0.0
140,608,0.0
141,168,0.0
142,38,0.0
143,71,0.0
144,128,0.0
145,23,0.0
146,32,0.0
147,20,0.0
148,48,0.0
149,58,0.0
150,26,0.0
151,59,0.0
152,63,0.0
153,179,0.0
154,34,0.0
155,46,0.0
156,398,0.0
157,21,0.0
158,26,0.0
159,97,0.0
160,437,0.0
161,39,1.0
162,38,0.0
163,23,0.0
164,36,0.0
165,65,0.0
166,190,6.0
167,173,1.0
168,94,0.0
169,269,0.0
170,50,0.0
171,82,0.0
172,26,0.0
173,25,0.0
174,67,0.0
175,24,0.0
176,36,0.0
177,904,3.0
178,77,0.0
179,69,0.0
180,24,0.0
181,118,0.0
182,977,0.0
183,57,0.0
184,134,35.0
185,47,0.0
186,226,0.0
187,258,0.0
188,48,0.0
189,20,0.0
190,66,0.0
191,85,0.0
192,22,0.0
193,35,20.0
194,20,0.0
195,187,0.0
196,32,0.0
197,35,0.0
198,230,0.0
199,363,0.0
200,334,0.0
201,110,0.0
202,403,0.0
203,45,0.0
204,83,0.0
205,27,3.0
206,25,0.0
207,20,0.0
208,26,0.0
209,35,0.0
210,138,0.0
211,89,0.0
212,248,0.0
213,84,0.0
214,22,0.0
215,98,0.0
216,164,0.0
217,613,0.0
218,26,0.0
219,528,0.0
220,207,0.0
221,331,0.0
222,250,0.0
223,75,0.0
224,54,0.0
225,75,0.0
226,507,3.0
227,94,0.0
228,25,0.0
229,65,0.0
230,139,0.0
231,24,0.0
232,862,0.0
233,150,0.0
234,202,0.0
235,65,0.0
236,30,0.0
237,50,0.0
238,44,0.0
239,279,0.0
240,128,0.0
241,76,0.0
242,35,0.0
243,36,0.0
244,93,0.0
245,21,0.0
246,204,0.0
247,150,0.0
248,51,0.0
249,1046,0.0
250,27,0.0
251,23,0.0
252,38,0.0
253,47,0.0
254,127,0.0
255,44,0.0
256,174,2.0
257,20,0.0
258,25,0.0
259,29,0.0
260,152,0.0
261,53,0.0
262,57,0.0
263,210,0.0
264,56,0.0
265,163,0.0
266,180,0.0
267,57,0.0
268,129,0.0
269,29,0.0
270,40,0.0
271,43,0.0
272,31,0.0
273,55,0.0
274,1346,1.0
275,403,0.0
276,41,0.0
277,28,0.0
278,20,0.0
279,176,0.0
280,196,0.0
281,21,0.0
282,237,0.0
283,35,0.0
284,88,0.0
285,36,0.0
286,106,0.0
287,152,0.0
288,1055,1.0
289,24,4.0
290,267,0.0
291,31,4.0
292,446,0.0
293,21,0.0
294,437,0.0
295,41,0.0
296,27,0.0
297,72,0.0
298,939,0.0
299,23,0.0
300,32,1.0
301,114,0.0
302,32,0.0
303,53,0.0
304,216,0.0
305,677,8.0
306,112,0.0
307,975,0.0
308,115,0.0
309,103,0.0
310,64,0.0
311,28,0.0
312,223,0.0
313,340,0.0
314,128,0.0
315,33,0.0
316,53,0.0
317,189,0.0
318,879,41.0
319,35,3.0
320,20,0.0
321,56,0.0
322,107,0.0
323,98,0.0
324,21,0.0
325,270,0.0
326,152,0.0
327,48,7.0
328,255,0.0
329,23,0.0
330,247,0.0
331,168,0.0
332,267,0.0
333,25,0.0
334,154,0.0
335,28,0.0
336,56,10.0
337,77,0.0
338,39,0.0
339,371,0.0
340,28,0.0
341,52,2.0
342,66,0.0
343,59,0.0
344,69,0.0
345,62,0.0
346,164,0.0
347,45,0.0
348,55,0.0
349,37,0.0
350,40,0.0
351,141,0.0
352,294,0.0
353,90,0.0
354,226,0.0
355,26,0.0
356,289,5.0
357,383,45.0
358,41,0.0
359,74,0.0
360,25,0.0
361,97,0.0
362,109,0.0
363,30,0.0
364,21,0.0
365,277,0.0
366,31,0.0
367,185,0.0
368,469,0.0
369,129,0.0
370,93,0.0
371,41,0.0
372,236,0.0
373,100,0.0
374,33,0.0
375,33,0.0
376,133,0.0
377,131,0.0
378,48,0.0
379,36,0.0
380,1218,0.0
381,474,0.0
382,291,0.0
383,34,0.0
384,70,0.0
385,201,0.0
386,68,0.0
387,1027,0.0
388,29,0.0
389,34,0.0
390,81,0.0
391,386,0.0
392,25,0.0
393,123,0.0
394,23,0.0
395,61,0.0
396,28,0.0
397,23,0.0
398,46,0.0
399,36,0.0
400,43,0.0
401,72,0.0
402,48,0.0
403,34,0.0
404,60,0.0
405,120,0.0
406,20,0.0
407,22,0.0
408,141,0.0
409,126,0.0
410,167,0.0
411,127,0.0
412,102,0.0
413,56,0.0
414,2698,0.0
415,94,0.0
416,51,0.0
417,67,0.0
418,93,0.0
419,155,5.0
420,141,0.0
421,37,0.0
422,93,0.0
423,23,0.0
424,138,273.0
425,306,0.0
426,88,0.0
427,84,0.0
428,300,0.0
429,58,0.0
430,58,0.0
431,20,0.0
432,260,0.0
433,22,0.0
434,233,0.0
435,42,4.0
436,106,0.0
437,122,0.0
438,635,0.0
439,21,3.0
440,33,0.0
441,45,0.0
442,20,0.0
443,37,0.0
444,42,0.0
445,77,0.0
446,84,0.0
447,78,0.0
448,1864,0.0
449,38,0.0
450,51,0.0
451,34,0.0
452,202,0.0
453,311,0.0
454,45,0.0
455,57,0.0
456,43,0.0
457,50,0.0
458,59,0.0
459,26,0.0
460,82,0.0
461,27,0.0
462,455,5.0
463,33,0.0
464,138,0.0
465,115,0.0
466,113,0.0
467,22,0.0
468,33,0.0
469,465,0.0
470,80,0.0
471,28,0.0
472,29,0.0
473,37,0.0
474,2108,1507.0
475,155,0.0
476,69,0.0
477,600,280.0
478,22,0.0
479,181,0.0
480,836,0.0
481,31,0.0
482,128,0.0
483,728,0.0
484,275,0.0
485,23,0.0
486,56,0.0
487,56,3.0
488,111,0.0
489,648,0.0
490,113,0.0
491,64,0.0
492,121,0.0
493,61,0.0
494,22,0.0
495,265,0.0
496,29,0.0
497,51,0.0
498,35,0.0
499,27,0.0
500,86,0.0
501,45,0.0
502,35,0.0
503,95,0.0
504,87,0.0
505,31,0.0
506,42,3.0
507,21,0.0
508,24,0.0
509,467,3.0
510,108,0.0
511,52,0.0
512,50,0.0
513,32,3.0
514,397,0.0
515,26,0.0
516,26,0.0
517,400,0.0
518,24,0.0
519,26,0.0
520,186,2.0
521,40,0.0
522,200,0.0
523,75,0.0
524,131,0.0
525,500,0.0
526,58,0.0
527,167,0.0
528,73,0.0
529,25,0.0
530,27,0.0
531,22,0.0
532,50,0.0
533,38,3.0
534,520,0.0
535,30,0.0
536,40,0.0
537,47,100.0
538,37,0.0
539,38,0.0
540,42,0.0
541,87,0.0
542,113,0.0
543,76,1.0
544,22,0.0
545,23,0.0
546,64,0.0
547,21,0.0
548,26,0.0
549,21,0.0
550,28,0.0
551,123,0.0
552,188,0.0
553,83,0.0
554,89,0.0
555,578,0.0
556,32,0.0
557,27,0.0
558,56,0.0
559,140,0.0
560,458,0.0
561,505,0.0
562,231,0.0
563,213,0.0
564,157,0.0
565,29,0.0
566,74,0.0
567,385,432.0
568,23,0.0
569,20,0.0
570,191,0.0
571,112,0.0
572,155,0.0
573,299,31.0
574,23,0.0
575,36,0.0
576,20,0.0
577,161,0.0
578,27,0.0
579,73,0.0
580,436,0.0
581,40,0.0
582,56,0.0
583,56,0.0
584,83,0.0
585,61,0.0
586,208,0.0
587,165,0.0
588,56,0.0
589,40,0.0
590,728,0.0
591,54,0.0
592,94,0.0
593,103,0.0
594,232,0.0
595,20,0.0
596,411,0.0
597,443,0.0
598,21,0.0
599,2478,323.0
600,763,1.0
601,101,0.0
602,135,0.0
603,943,0.0
604,100,0.0
605,221,0.0
606,1115,7.0
607,187,0.0
608,831,0.0
609,37,0.0
610,1302,3.0
